url,title,body
https://api.github.com/repos/OfficeDev/office-js/issues/1732,Outlook: forMSGraphAccess not work for OfficeRuntime.auth.getAccessToken api,"when i execute this demo code in Outlook add-in:
```
OfficeRuntime.auth.getAccessToken({forMSGraphAccess: true}).then( function(result) {console.log(result);});
```
i can get jwt token success.
But in fact, my app was not granted by admin.
when i try to use this jwt token to get access_token, by call this api:
```
https://login.microsoftonline.com/common/oauth2/v2.0/token/
client_id: my app's client id
client_secret: my app's client secret
assertion: the jwt token from OfficeRuntime.auth.getAccessToken({forMSGraphAccess: true})
requested_token_use: on_behalf_of
grant_type: urn:ietf:params:oauth:grant-type:jwt-bearer
scope: User.Read
```
i get an error for not granted.
```
{
    ""error"": ""invalid_grant"",
    ""error_description"": ""AADSTS65001: The user or administrator has not consented to use the application with ID 'ab71e945-f7b8-4d5e-84ce-f631e9ea7e52' named 'maiken-test111'. Send an interactive authorization request for this user and resource.\r\nTrace ID: 23effd36-b8da-4a49-8589-e15f0660a100\r\nCorrelation ID: 5caece2f-b847-4c70-be5b-d5ef101abc5b\r\nTimestamp: 2021-03-17 13:07:59Z"",
    ""error_codes"": [
        65001
    ],
    ""timestamp"": ""2021-03-17 13:07:59Z"",
    ""trace_id"": ""23effd36-b8da-4a49-8589-e15f0660a100"",
    ""correlation_id"": ""5caece2f-b847-4c70-be5b-d5ef101abc5b"",
    ""suberror"": ""consent_required""
}
```"
https://api.github.com/repos/OfficeDev/office-js/issues/1723,Get email addresses of distribution list in Outlook,"Hi,

We want to validate recipients in an Outlook Add-in, but what is the best way to do that? The documentation is not clear on how to do that with OfficeJS or am I missing something?

Any help would be greatly appreciated!

Regards,
Rick"
https://api.github.com/repos/OfficeDev/office-js/issues/1721,"item.categories.addAsync gives an error ""The operation is not supported"" in compose mode","Office 365 online throws an error in compose mode although according to the [documentation](https://docs.microsoft.com/en-us/javascript/api/outlook/office.mastercategories?view=outlook-js-preview#addAsync_categories__options__callback_) it should work;

![image](https://user-images.githubusercontent.com/12011141/111293185-0bea1180-865a-11eb-87cf-3f8137c97784.png)

"
https://api.github.com/repos/OfficeDev/office-js/issues/1691,How to detect if a taskpane is pinned?,"Hi,

Is there a way to detect whether a user has pinned the task pane in both compose and read mode?
And if there is no 'real' way, are there suggestions on how to detect this as good as possible?

Thanks!

Regards,
Rick
"
https://api.github.com/repos/OfficeDev/office-js/issues/1649,Outlook 2016 Reporting Incorrect Dialog API/Mailbox Requirement Set Support,"Calling isSetSupported(""DialogApi"", 1.1) or isSetSupported(""Mailbox, 1.4) in Outlook 2016 is reporting false, even though the Dialog API works in that environment as it supports Mailbox API 1.4.

## Expected Behavior
Office.context.requirements.isSetSupported(""DialogApi"", 1.1) and Office.context.requirements.isSetSupported(""Mailbox"", 1.4) should return true in Outlook 2016.

## Current Behavior
Office.context.requirements.isSetSupported(""DialogApi"", 1.1)  and Office.context.requirements.isSetSupported(""Mailbox"", 1.4) returns false in Outlook 2016.

## Steps to Reproduce, or Live Example
The example from https://github.com/OfficeDev/office-js/issues/1476 can be used here. Use it in an Outlook 2016 environment.
Additional details:
* Run the add-in in Outlook 2016
* Click the Run button
* Inspect the reported values for the various requirement sets support

## Context
Add-in is trying to check if we can show a prompt to the user and if not then we go a default path. In this case it is falling back to the default path when it could show the prompt instead.

## Your Environment
* Platform [PC desktop, Mac, iOS, Office on the web]: Windows Outlook 2016 32-bit and 64-bit.
* Host [Excel, Word, PowerPoint, etc.]: Outlook 2016
* Office version number: Outlook 2016, 16.0.5113.1000
* Operating System: Windows

## Additional Information

I've checked that the osfclient-x-none updates are installed and they are, ([here](https://support.microsoft.com/help/4475580) and [here](https://support.microsoft.com/help/4464534)).

Note dialogs do work on the environment, just this check if they are supported is failing."
https://api.github.com/repos/OfficeDev/office-js/issues/1641,Read current mail body in FunctionFile? ,"I have followed the small tutorial [here](https://docs.microsoft.com/en-us/office/dev/add-ins/quickstarts/outlook-quickstart?tabs=yeomangenerator) and I have the following question:

How can I read the current mail body in the FunctionFile function?

I have the following simple config: 

**Manifest**:
![image](https://user-images.githubusercontent.com/5080185/107900891-2b750980-6ef7-11eb-8bce-5af276820bc9.png)

**Failing action function (reading result.value throws a silent error, but works fine in the taskpane.js)**:
![image](https://user-images.githubusercontent.com/5080185/107900993-6ecf7800-6ef7-11eb-9c39-915226f408f3.png)
"
https://api.github.com/repos/OfficeDev/office-js/issues/1637,"inserting HTML into the body of the message, styling changes for the following paragraph","<!--- Provide a general summary of the issue in the Title above -->
when inserting HTML into the body of the message (via the Outlook.js API) the styling changes for the following paragraph

## Expected Behavior
same formating for all new content/text

## Current Behavior
<!--- Tell us what happens instead of the expected behavior -->
<!--- If suggesting a change/improvement, explain the difference from current behavior -->
when inserting HTML into the body of a mail message (via the Outlook.js API) the styling changes for the following paragraph

## Steps to Reproduce, or Live Example
<!--- Ideally, provide a link to a live example, created and shared using -->
<!--- [Script Lab](https://aka.ms/scriptlab). If relevant, create two buttons, -->
<!--- one that sets up data in the document, and another that exemplifies the issue. -->
* Link to live example:

https://user-images.githubusercontent.com/78954643/107750046-bdc0b600-6d1b-11eb-8e44-d619ef6021df.mp4




<!--- If not possible, or if the snippet requires extra explanation, provide repro steps below: -->
* Additional details:


## Context
<!--- How has this issue affected you? What are you trying to accomplish? -->
<!--- Providing context helps us come up with a solution that is most useful in the real world -->


## Your Environment
<!--- Include as many relevant details about the environment you experienced the bug in -->
Outlook 365 Client installation on newest Windows 10 build on a surface book. This is reproducible on other clients as well


## Useful logs
 see attached video
"
https://api.github.com/repos/OfficeDev/office-js/issues/1636,Reply/ReplyAll/Forward has to provide option to open in active window for the New Mac UI,"Current functions Reply/Reply All/Forward are opened Dialog pop-up instead of opening in an active window based on a new idea of New Mac UI.

Will be grate to have some additional Boolean parameter ""Is Dialog"" for _displayReplyAllFormAsync or displayReplyAllForm_ function to have an option stay in current window without opening via pop-up.
"
https://api.github.com/repos/OfficeDev/office-js/issues/1627,Office.js causes build failure for Outlook 2016 Addin,"Office.js fails to load https://telemetryservice.firstpartyapps.oaspapps.com/telemetryservice/telemetryproxy.html the server responded with a status of 404. I do not need this for my app.

I am calling office.js from CDN in header of HTML, then initializing in main.ts file: 

`<script src=""https://appsforoffice.microsoft.com/lib/1/hosted/Office.js"" type=""text/javascript""></script>`

```
  Office.initialize = function () {
    const platform = platformBrowserDynamic();
    platform.bootstrapModule(AppModule).catch(err => console.log(err));
  };
```
It is failing the build of my web app and therefore I can't deploy it as an Outlook 2016 Addin because the manifest file is pointing to my web app. This is currently preventing from creating an Addin for Outlook 2016 desktop using javascript/typescript.

## Expected Behavior
Office.js should load all files it references (in this case the telemetryservice) OR bypass failing service.

## Current Behavior
Web app build fails when office.js is loaded because it does not get a response from telemetry service.

## Steps to Reproduce, or Live Example
1. Generate an office addin using Yo office.
2. Select to generate an Angular app
3. Load office.js into header of index.html
4. Initialize office in main.ts with app boot strap
5. Attempt to perform build and observe build failure.

## Context
I am developing an Addin for Outlook 2016 desktop for a private company. I have generated app using yo office then loading office.js to try and call outlook methods, but office.js calls a telemetry service that fails to load and thus i am not able to build and deploy the app that the manefest points to. If I comment out office.js then i can build my app and the Addin can be loaded and viewed in the task pane.

## Your Environment
<!--- Include as many relevant details about the environment you experienced the bug in -->
* Windows 10
* Outlook 2016 Desktop
* Chrome and Edge

## Useful logs
Failed to load resource: the server responded with a status of 404 ()  
   Request URL: https://telemetryservice.firstpartyapps.oaspapps.com/telemetryservice/telemetryproxy.html
"
https://api.github.com/repos/OfficeDev/office-js/issues/1624,"When inserting content to appointment body, content does not show up immediately.","
It is kind of slow when inserting content to appointment body with Office.context.mailbox.item.body.setAsync(). Is this a known issue as I see there is a tip ""Teams meeting details will be added after sending the invitation"" in the Teams Add-In."
